index,endTime,artistName,trackName,msPlayed,track_id,track_popularity,track_duration,track_explicit,sPlayed,msPlayed_dt
4967,2023-01-02 01:55:00,dodie,all my daughters (demo),3037,72nforC2yiPwMXSsExSNnK,34.0,190824.0,False,3.037,0 days 00:00:03.037000
4968,2023-01-02 01:58:00,dodie,6/10,185487,6aDyiU2cVrqh33UEnEo3WA,43.0,185487.0,False,185.487,0 days 00:03:05.487000
4969,2023-01-02 02:02:00,dodie,"one last time, please (demo)",163539,3BEbE3VLuHWyq7lspx35GF,35.0,163539.0,False,163.539,0 days 00:02:43.539000
4970,2023-01-02 02:03:00,dodie,Life Lesson,22000,51z8j9rLSj0p5mikST2BCA,2.0,22000.0,False,22.0,0 days 00:00:22
4971,2023-01-02 02:06:00,dodie,I Have A Hole In My Tooth (And My Dentist is Shut),35020,025UUQA6NowbZynZU3Hv0u,33.0,40000.0,False,35.02,0 days 00:00:35.020000
4972,2023-01-02 02:06:00,dodie,Boys Like You (Bonus),733,6CT9rlhE55gX3MaDznjWt7,39.0,180863.0,False,0.733,0 days 00:00:00.733000
4973,2023-01-02 02:06:00,dodie,Would You Be So Kind,180952,3ZiuxcBeRanTjfHzVBuuQe,60.0,180952.0,False,180.952,0 days 00:03:00.952000
4974,2023-01-02 02:06:00,dodie,don't quite belong (demo),4963,1shFuXMd9yPSIDrpeb660U,33.0,205873.0,False,4.963,0 days 00:00:04.963000
4975,2023-01-02 02:12:00,dodie,If I'm Being Honest,279324,5K2cBicu96Pf4mrBv3Jojk,46.0,279324.0,False,279.324,0 days 00:04:39.324000
4977,2023-01-02 02:13:00,Chilli Beans.,Tremolo,3213,2nUwIqNF0R5v1lurmP1Irj,50.0,187947.0,False,3.213,0 days 00:00:03.213000
4978,2023-01-02 02:13:00,Orla Gartland,Why Am I Like This?,16770,1VaB7rOe1mK60C2M9dUl2Y,60.0,212713.0,False,16.77,0 days 00:00:16.770000
4981,2023-01-02 02:14:00,dodie,Hate Myself (Voice Memo),32451,5op5f1pZvU7Vj0KDSYSYdK,24.0,208657.0,False,32.451,0 days 00:00:32.451000
4982,2023-01-02 02:14:00,Orla Gartland,Bloodline / Difficult Things - live in Dublin,2806,5XMDQIMAOlvnEm4Db2eecW,17.0,369671.0,False,2.806,0 days 00:00:02.806000
4983,2023-01-02 02:14:00,milet,おもかげ (produced by Vaundy),269,6ts1KCOudfDYXYfyWtq0k1,66.0,188060.0,False,0.269,0 days 00:00:00.269000
4984,2023-01-02 02:14:00,Bishop Briggs,High Water,345,0ZrHaA9ei55Km65yBodElf,44.0,189267.0,False,0.345,0 days 00:00:00.345000
4985,2023-01-02 02:14:00,dodie,Would You Be So Kind,2296,3ZiuxcBeRanTjfHzVBuuQe,60.0,180952.0,False,2.296,0 days 00:00:02.296000
4988,2023-01-02 02:17:00,Orla Gartland,Why Am I Like This?,212713,1VaB7rOe1mK60C2M9dUl2Y,60.0,212713.0,False,212.713,0 days 00:03:32.713000
4989,2023-01-02 02:24:00,Orla Gartland,Overthinking (Demo),341498,2FejHWlKvqILxymiFEL6n5,24.0,201106.0,False,341.498,0 days 00:05:41.498000
4990,2023-01-02 02:27:00,Orla Gartland,Figure It Out,203173,37XSHvNDu2RjMOlMYyouiA,28.0,200803.0,True,203.173,0 days 00:03:23.173000
4991,2023-01-02 02:32:00,Orla Gartland,Heavy,244946,7y7Wd6SDy39DHRfRU20GNU,33.0,244946.0,False,244.946,0 days 00:04:04.946000
4992,2023-01-02 02:35:00,Orla Gartland,New Friends,179439,35qRwSUu7Z5bvqTE7iGyxi,25.0,178000.0,False,179.439,0 days 00:02:59.439000
4993,2023-01-02 02:39:00,Orla Gartland,I Go Crazy - Acoustic,203553,6fmNznIaU7dhIGXVtou157,32.0,203553.0,False,203.553,0 days 00:03:23.553000
4994,2023-01-02 02:42:00,Orla Gartland,Flatline,201203,3YaHNBawBLi0dm85m3ohaI,33.0,201203.0,False,201.203,0 days 00:03:21.203000
4995,2023-01-02 02:46:00,Orla Gartland,More Like You - acoustic,237698,4WWlAdCman93m7W3OVBA7X,22.0,237698.0,False,237.698,0 days 00:03:57.698000
4996,2023-01-02 02:50:00,Orla Gartland,Figure It Out - Acoustic,235275,6V0A3jkb9ntudO0kmcJ1xd,61.0,183602.0,False,235.275,0 days 00:03:55.275000
4997,2023-01-02 02:53:00,Orla Gartland,"You're Not Special, Babe",203263,0GaVSVifeBSwnNTNordPGC,46.0,203263.0,True,203.263,0 days 00:03:23.263000
4998,2023-01-02 02:54:00,Orla Gartland,Left Behind,59287,3XwpRfAKRkYGFu5SqvdNK5,32.0,255321.0,False,59.287,0 days 00:00:59.287000
4999,2023-01-02 02:58:00,dodie,Absolutely Smitten,181000,71SidvkT6LCBHRZI858TsQ,51.0,181000.0,False,181.0,0 days 00:03:01
5000,2023-01-02 03:01:00,Orla Gartland,Pretending,215694,1XFxLlYuWdebo6hgczaVDu,37.0,215694.0,True,215.694,0 days 00:03:35.694000
5001,2023-01-02 03:11:00,Orla Gartland,Over Your Head - SASAMI remix,4545,0buA8H0Z5Vj1PupvbsQpev,14.0,167665.0,False,4.545,0 days 00:00:04.545000
5002,2023-01-02 03:44:00,Orla Gartland,Bloodline / Difficult Things - live in Dublin,369671,5XMDQIMAOlvnEm4Db2eecW,17.0,369671.0,False,369.671,0 days 00:06:09.671000
5003,2023-01-02 03:47:00,dodie,bite back (demo),180366,5IWbVSHXMJzuHE7PoZdu7f,34.0,180366.0,False,180.366,0 days 00:03:00.366000
5004,2023-01-02 03:50:00,dodie,Secret For The Mad,197278,2Uk0aFqYCtecHL5MCq2we0,47.0,197278.0,False,197.278,0 days 00:03:17.278000
5005,2023-01-02 03:54:00,dodie,Hate Myself - Georgia Remix,240869,3pDABAV7jMu9bFC2HHv2RT,24.0,240869.0,False,240.869,0 days 00:04:00.869000
5006,2023-01-02 03:58:00,dodie,Guiltless,208033,1UBe9K7MECJJOYd20nwhpl,40.0,208033.0,False,208.033,0 days 00:03:28.033000
5007,2023-01-02 04:00:00,dodie,Four Tequilas Down,142150,7ilxwPIQLBWPIQa1gxYow6,40.0,142150.0,True,142.15,0 days 00:02:22.150000
5008,2023-01-02 04:03:00,dodie,You,170975,1U0nWcWMR1gyHEHBvx5YpW,43.0,170975.0,False,170.975,0 days 00:02:50.975000
5009,2023-01-02 04:07:00,Orla Gartland,Madison,224638,3GNnTQVqE4zUSECYzHXq0b,41.0,224638.0,True,224.638,0 days 00:03:44.638000
5010,2023-01-02 04:10:00,dodie,Lonely Bones,184532,5HFzAeZkaTDBhlaqwcRmeL,47.0,184532.0,False,184.532,0 days 00:03:04.532000
5011,2023-01-02 04:13:00,Orla Gartland,"You're Not Special, Babe",203263,0GaVSVifeBSwnNTNordPGC,46.0,203263.0,True,203.263,0 days 00:03:23.263000
5012,2023-01-02 04:19:00,dodie,Ready Now,351159,1xzIv4LPe57Lgz3ELDOdBE,53.0,181969.0,False,351.159,0 days 00:05:51.159000
5013,2023-01-02 04:22:00,dodie,Boys Like You (Bonus),180863,6CT9rlhE55gX3MaDznjWt7,39.0,180863.0,False,180.863,0 days 00:03:00.863000
5014,2023-01-02 04:25:00,dodie,"one last time, please (demo)",163539,3BEbE3VLuHWyq7lspx35GF,35.0,163539.0,False,163.539,0 days 00:02:43.539000
5015,2023-01-02 04:28:00,dodie,Human,202721,7o8vTKpUe6GvlssjGhZk7d,48.0,202721.0,False,202.721,0 days 00:03:22.721000
5016,2023-01-02 04:32:00,dodie,She,213611,45h4w81P5iJJTSeR0jJUQ8,63.0,213611.0,False,213.611,0 days 00:03:33.611000
5017,2023-01-02 04:36:00,dodie,When,223108,161iaO13CvAJ3IZC2EtAEQ,49.0,223108.0,False,223.108,0 days 00:03:43.108000
5018,2023-01-02 04:39:00,Orla Gartland,Overthinking (Demo),201106,2FejHWlKvqILxymiFEL6n5,24.0,201106.0,False,201.106,0 days 00:03:21.106000
5019,2023-01-02 04:42:00,Faultline,All I Do Is Dream of You,162046,1Cxx2ec6iADMThJFeKSOzl,38.0,162046.0,False,162.046,0 days 00:02:42.046000
5020,2023-01-02 04:45:00,dodie,No Big Deal (I Love You),195081,71kcVvSxf0QVp2uto4EsHn,43.0,195081.0,False,195.081,0 days 00:03:15.081000
5021,2023-01-02 04:46:00,dodie,Instrumental,50340,7KHT9zexpmqYyxQVLJ5uts,37.0,50340.0,False,50.34,0 days 00:00:50.340000
5022,2023-01-02 04:49:00,Orla Gartland,Lonely People,189500,5JbboJ0g2y6hOcszKoLTMC,33.0,189500.0,False,189.5,0 days 00:03:09.500000
5023,2023-01-02 04:50:00,dodie,Air So Sweet,65300,60CueJX9vAclyPm2229I2d,56.0,65300.0,False,65.3,0 days 00:01:05.300000
5024,2023-01-02 04:53:00,dodie,Special Girl,193423,2YIsnl3xxvV34QgnT9HLCY,42.0,193423.0,False,193.423,0 days 00:03:13.423000
5025,2023-01-02 04:56:00,Orla Gartland,Zombie!,177090,6sDeF4lLQHWfGOqBzV3whw,40.0,177090.0,False,177.09,0 days 00:02:57.090000
5026,2023-01-02 05:00:00,Orla Gartland,Pretending,215694,1XFxLlYuWdebo6hgczaVDu,37.0,215694.0,True,215.694,0 days 00:03:35.694000
5027,2023-01-02 05:00:00,dodie,Life Lesson,22000,51z8j9rLSj0p5mikST2BCA,2.0,22000.0,False,22.0,0 days 00:00:22
5028,2023-01-02 05:04:00,Orla Gartland,"You're Not Special, Babe - live at Middle Farm studios",219736,1nDl6FtfwUI5LcMCglGiC0,18.0,219736.0,True,219.736,0 days 00:03:39.736000
5029,2023-01-02 05:07:00,dodie,Sorry,165619,0nVv9l68N2NtQSyxtTxHvy,38.0,165619.0,False,165.619,0 days 00:02:45.619000
5031,2023-01-02 05:11:00,Orla Gartland,Over Your Head - SASAMI remix,167665,0buA8H0Z5Vj1PupvbsQpev,14.0,167665.0,False,167.665,0 days 00:02:47.665000
5032,2023-01-02 05:14:00,dodie,Guiltless (Bonus),209647,3MOcjyHSgktK1iOILE0UJD,38.0,209647.0,False,209.647,0 days 00:03:29.647000
5033,2023-01-02 05:18:00,dodie,Hate Myself (Voice Memo),208657,5op5f1pZvU7Vj0KDSYSYdK,24.0,208657.0,False,208.657,0 days 00:03:28.657000
5034,2023-01-02 05:19:00,Orla Gartland,Afterlife - demo,83129,3OKVZxc0bnYfKUEX8Y6uTC,31.0,83129.0,True,83.129,0 days 00:01:23.129000
5035,2023-01-02 05:21:00,dodie,Arms Unfolding,95764,6AURpqbH7V45OwiyQBkgpW,44.0,95764.0,False,95.764,0 days 00:01:35.764000
5036,2023-01-02 05:24:00,Orla Gartland,Did It To Myself,196939,7GxyVndw3cC5Pw27dw8AQM,38.0,196939.0,True,196.939,0 days 00:03:16.939000
5037,2023-01-02 05:27:00,Orla Gartland,Between My Teeth,196093,07FNKVJKWX08paQiethhD0,38.0,196093.0,False,196.093,0 days 00:03:16.093000
5039,2023-01-02 05:32:00,dodie,Party Tattoos,217700,3UCOHhnYLVw2ODokTTtaka,43.0,217700.0,False,217.7,0 days 00:03:37.700000
5040,2023-01-02 05:37:00,Orla Gartland,Bloodline / Difficult Things,262344,5H4GjjQta6rgKNr2vxRvEl,35.0,262344.0,False,262.344,0 days 00:04:22.344000
5041,2023-01-02 05:40:00,Orla Gartland,Why Am I Like This?,212713,1VaB7rOe1mK60C2M9dUl2Y,60.0,212713.0,False,212.713,0 days 00:03:32.713000
5042,2023-01-02 05:43:00,dodie,I Kissed Someone (It Wasn't You),150937,35NX4IIsuOOm6isMzTdqtQ,46.0,150937.0,False,150.937,0 days 00:02:30.937000
5043,2023-01-02 05:46:00,Pomplamoose,Breakup Mashup,174352,7oIGWbgAbukbtTIdxnlIwd,37.0,174352.0,True,174.352,0 days 00:02:54.352000
5044,2023-01-02 05:50:00,dodie,Rainbow,252991,4CUS2wpysR01dYz7uiRD5d,40.0,166876.0,False,252.991,0 days 00:04:12.991000
