track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0o2BJHj9wQTCb5UfY7R7jl,0.805,0.606,4,-5.506,1,0.05,0.107,0.0,0.369,0.426,122.046,audio_features,0o2BJHj9wQTCb5UfY7R7jl,spotify:track:0o2BJHj9wQTCb5UfY7R7jl,https://api.spotify.com/v1/tracks/0o2BJHj9wQTCb5UfY7R7jl,https://api.spotify.com/v1/audio-analysis/0o2BJHj9wQTCb5UfY7R7jl,191881,4
18UsAG7SfOQ5sxJEdjAMH0,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,audio_features,18UsAG7SfOQ5sxJEdjAMH0,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/tracks/18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/audio-analysis/18UsAG7SfOQ5sxJEdjAMH0,256689,3
488BT4GxCDKGqnK77wQWeG,0.599,0.541,2,-6.984,1,0.299,0.817,0.0,0.834,0.557,129.939,audio_features,488BT4GxCDKGqnK77wQWeG,spotify:track:488BT4GxCDKGqnK77wQWeG,https://api.spotify.com/v1/tracks/488BT4GxCDKGqnK77wQWeG,https://api.spotify.com/v1/audio-analysis/488BT4GxCDKGqnK77wQWeG,105898,4
6TcxxINfeaBEQ35sHMldTD,0.51,0.622,2,-5.727,1,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,audio_features,6TcxxINfeaBEQ35sHMldTD,spotify:track:6TcxxINfeaBEQ35sHMldTD,https://api.spotify.com/v1/tracks/6TcxxINfeaBEQ35sHMldTD,https://api.spotify.com/v1/audio-analysis/6TcxxINfeaBEQ35sHMldTD,196027,4
1Jt24MPLz6fGXSCTlXTjzF,0.322,0.231,4,-12.919,1,0.0347,0.932,0.00076,0.149,0.228,91.186,audio_features,1Jt24MPLz6fGXSCTlXTjzF,spotify:track:1Jt24MPLz6fGXSCTlXTjzF,https://api.spotify.com/v1/tracks/1Jt24MPLz6fGXSCTlXTjzF,https://api.spotify.com/v1/audio-analysis/1Jt24MPLz6fGXSCTlXTjzF,132000,3
46KDhb0puoTbMNui2qNBmj,0.683,0.195,3,-13.558,0,0.0293,0.878,0.0187,0.0867,0.337,99.742,audio_features,46KDhb0puoTbMNui2qNBmj,spotify:track:46KDhb0puoTbMNui2qNBmj,https://api.spotify.com/v1/tracks/46KDhb0puoTbMNui2qNBmj,https://api.spotify.com/v1/audio-analysis/46KDhb0puoTbMNui2qNBmj,137947,3
5TIyFlLF0EfYOUZH1TYxBq,0.689,0.594,0,-7.645,1,0.0584,0.0301,0.0,0.102,0.653,137.112,audio_features,5TIyFlLF0EfYOUZH1TYxBq,spotify:track:5TIyFlLF0EfYOUZH1TYxBq,https://api.spotify.com/v1/tracks/5TIyFlLF0EfYOUZH1TYxBq,https://api.spotify.com/v1/audio-analysis/5TIyFlLF0EfYOUZH1TYxBq,175693,4
7hjPM7rlZo3netjXWOZqcT,0.482,0.542,5,-7.932,0,0.034,0.598,4.78e-05,0.0975,0.251,149.916,audio_features,7hjPM7rlZo3netjXWOZqcT,spotify:track:7hjPM7rlZo3netjXWOZqcT,https://api.spotify.com/v1/tracks/7hjPM7rlZo3netjXWOZqcT,https://api.spotify.com/v1/audio-analysis/7hjPM7rlZo3netjXWOZqcT,255347,4
41K8qlXVHE5cDv7eifdk4G,0.786,0.523,0,-7.583,0,0.21,0.622,0.000671,0.0978,0.379,80.042,audio_features,41K8qlXVHE5cDv7eifdk4G,spotify:track:41K8qlXVHE5cDv7eifdk4G,https://api.spotify.com/v1/tracks/41K8qlXVHE5cDv7eifdk4G,https://api.spotify.com/v1/audio-analysis/41K8qlXVHE5cDv7eifdk4G,179173,4
2sBKLT7bFa38yVAYxYltUX,0.36,0.209,4,-10.293,1,0.0355,0.967,0.00326,0.153,0.227,199.95,audio_features,2sBKLT7bFa38yVAYxYltUX,spotify:track:2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/tracks/2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/audio-analysis/2sBKLT7bFa38yVAYxYltUX,234283,4
1VaB7rOe1mK60C2M9dUl2Y,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24e-06,0.219,0.319,90.019,audio_features,1VaB7rOe1mK60C2M9dUl2Y,spotify:track:1VaB7rOe1mK60C2M9dUl2Y,https://api.spotify.com/v1/tracks/1VaB7rOe1mK60C2M9dUl2Y,https://api.spotify.com/v1/audio-analysis/1VaB7rOe1mK60C2M9dUl2Y,212713,4
1rm9z2o1PgcJHIYL6nx0VG,0.559,0.507,1,-5.502,1,0.0437,0.412,0.0,0.268,0.48,81.823,audio_features,1rm9z2o1PgcJHIYL6nx0VG,spotify:track:1rm9z2o1PgcJHIYL6nx0VG,https://api.spotify.com/v1/tracks/1rm9z2o1PgcJHIYL6nx0VG,https://api.spotify.com/v1/audio-analysis/1rm9z2o1PgcJHIYL6nx0VG,169827,4
1S4z3fHfqPuIlWbx3fJAlp,0.642,0.82,9,-4.548,0,0.0307,0.216,2.67e-06,0.131,0.521,104.018,audio_features,1S4z3fHfqPuIlWbx3fJAlp,spotify:track:1S4z3fHfqPuIlWbx3fJAlp,https://api.spotify.com/v1/tracks/1S4z3fHfqPuIlWbx3fJAlp,https://api.spotify.com/v1/audio-analysis/1S4z3fHfqPuIlWbx3fJAlp,185613,4
04OSnqlwlBJMvidYccraVz,0.518,0.447,5,-14.461,1,0.0338,0.23,0.0426,0.171,0.792,150.059,audio_features,04OSnqlwlBJMvidYccraVz,spotify:track:04OSnqlwlBJMvidYccraVz,https://api.spotify.com/v1/tracks/04OSnqlwlBJMvidYccraVz,https://api.spotify.com/v1/audio-analysis/04OSnqlwlBJMvidYccraVz,198400,4
1kKHlRNEXpIkYARjFXGmnm,0.694,0.447,10,-10.454,1,0.0337,0.944,0.117,0.0951,0.349,106.903,audio_features,1kKHlRNEXpIkYARjFXGmnm,spotify:track:1kKHlRNEXpIkYARjFXGmnm,https://api.spotify.com/v1/tracks/1kKHlRNEXpIkYARjFXGmnm,https://api.spotify.com/v1/audio-analysis/1kKHlRNEXpIkYARjFXGmnm,199712,4
5DIGt883aHs3KqWSziy4gR,0.644,0.401,7,-6.782,1,0.0403,0.171,0.0,0.132,0.459,95.354,audio_features,5DIGt883aHs3KqWSziy4gR,spotify:track:5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/tracks/5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/audio-analysis/5DIGt883aHs3KqWSziy4gR,112879,4
