track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,track_href,analysis_url,duration_ms,time_signature,duration_ms_dt,trackName,artistName,total_played_duration,total_played_count
0o2BJHj9wQTCb5UfY7R7jl,0.805,0.606,4,-5.506,1,0.05,0.107,0.0,0.369,0.426,122.046,spotify:track:0o2BJHj9wQTCb5UfY7R7jl,https://api.spotify.com/v1/tracks/0o2BJHj9wQTCb5UfY7R7jl,https://api.spotify.com/v1/audio-analysis/0o2BJHj9wQTCb5UfY7R7jl,191881,4,0 days 00:03:11.881000,Codependency,Orla Gartland,0 days 02:55:30.420000,70
18UsAG7SfOQ5sxJEdjAMH0,0.572,0.155,6,-14.405,1,0.0344,0.835,0.000137,0.0906,0.0949,109.923,spotify:track:18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/tracks/18UsAG7SfOQ5sxJEdjAMH0,https://api.spotify.com/v1/audio-analysis/18UsAG7SfOQ5sxJEdjAMH0,256689,3,0 days 00:04:16.689000,Be My Mistake,The 1975,0 days 00:04:38.234000,5
488BT4GxCDKGqnK77wQWeG,0.599,0.541,2,-6.984,1,0.299,0.817,0.0,0.834,0.557,129.939,spotify:track:488BT4GxCDKGqnK77wQWeG,https://api.spotify.com/v1/tracks/488BT4GxCDKGqnK77wQWeG,https://api.spotify.com/v1/audio-analysis/488BT4GxCDKGqnK77wQWeG,105898,4,0 days 00:01:45.898000,IDKW,Daisy the Great,0 days 01:40:28.707000,67
6TcxxINfeaBEQ35sHMldTD,0.51,0.622,2,-5.727,1,0.0242,0.0108,4.11e-06,0.127,0.424,99.934,spotify:track:6TcxxINfeaBEQ35sHMldTD,https://api.spotify.com/v1/tracks/6TcxxINfeaBEQ35sHMldTD,https://api.spotify.com/v1/audio-analysis/6TcxxINfeaBEQ35sHMldTD,196027,4,0 days 00:03:16.027000,Dreams Tonite,Alvvays,0 days 00:16:28.998000,6
1Jt24MPLz6fGXSCTlXTjzF,0.322,0.231,4,-12.919,1,0.0347,0.932,0.00076,0.149,0.228,91.186,spotify:track:1Jt24MPLz6fGXSCTlXTjzF,https://api.spotify.com/v1/tracks/1Jt24MPLz6fGXSCTlXTjzF,https://api.spotify.com/v1/audio-analysis/1Jt24MPLz6fGXSCTlXTjzF,132000,3,0 days 00:02:12,ur so pretty,Wasia Project,0 days 01:46:20.419000,53
5TIyFlLF0EfYOUZH1TYxBq,0.689,0.594,0,-7.645,1,0.0584,0.0301,0.0,0.102,0.653,137.112,spotify:track:5TIyFlLF0EfYOUZH1TYxBq,https://api.spotify.com/v1/tracks/5TIyFlLF0EfYOUZH1TYxBq,https://api.spotify.com/v1/audio-analysis/5TIyFlLF0EfYOUZH1TYxBq,175693,4,0 days 00:02:55.693000,More Than a Friend,girli,0 days 00:12:24.449000,6
7hjPM7rlZo3netjXWOZqcT,0.482,0.542,5,-7.932,0,0.034,0.598,4.78e-05,0.0975,0.251,149.916,spotify:track:7hjPM7rlZo3netjXWOZqcT,https://api.spotify.com/v1/tracks/7hjPM7rlZo3netjXWOZqcT,https://api.spotify.com/v1/audio-analysis/7hjPM7rlZo3netjXWOZqcT,255347,4,0 days 00:04:15.347000,Colours Of You,Baby Queen,0 days 00:12:42.093000,7
41K8qlXVHE5cDv7eifdk4G,0.786,0.523,0,-7.583,0,0.21,0.622,0.000671,0.0978,0.379,80.042,spotify:track:41K8qlXVHE5cDv7eifdk4G,https://api.spotify.com/v1/tracks/41K8qlXVHE5cDv7eifdk4G,https://api.spotify.com/v1/audio-analysis/41K8qlXVHE5cDv7eifdk4G,179173,4,0 days 00:02:59.173000,Bad Ideas,Tessa Violet,0 days 06:04:50.595000,131
2sBKLT7bFa38yVAYxYltUX,0.36,0.209,4,-10.293,1,0.0355,0.967,0.00326,0.153,0.227,199.95,spotify:track:2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/tracks/2sBKLT7bFa38yVAYxYltUX,https://api.spotify.com/v1/audio-analysis/2sBKLT7bFa38yVAYxYltUX,234283,4,0 days 00:03:54.283000,Dance with Me,beabadoobee,0 days 00:13:54.571000,4
1VaB7rOe1mK60C2M9dUl2Y,0.63,0.423,2,-7.705,1,0.0318,0.507,2.24e-06,0.219,0.319,90.019,spotify:track:1VaB7rOe1mK60C2M9dUl2Y,https://api.spotify.com/v1/tracks/1VaB7rOe1mK60C2M9dUl2Y,https://api.spotify.com/v1/audio-analysis/1VaB7rOe1mK60C2M9dUl2Y,212713,4,0 days 00:03:32.713000,Why Am I Like This?,Orla Gartland,0 days 03:27:21.068000,66
1S4z3fHfqPuIlWbx3fJAlp,0.642,0.82,9,-4.548,0,0.0307,0.216,2.67e-06,0.131,0.521,104.018,spotify:track:1S4z3fHfqPuIlWbx3fJAlp,https://api.spotify.com/v1/tracks/1S4z3fHfqPuIlWbx3fJAlp,https://api.spotify.com/v1/audio-analysis/1S4z3fHfqPuIlWbx3fJAlp,185613,4,0 days 00:03:05.613000,Alaska - Toby Green Remix,Maggie Rogers,0 days 00:06:11.226000,2
04OSnqlwlBJMvidYccraVz,0.518,0.447,5,-14.461,1,0.0338,0.23,0.0426,0.171,0.792,150.059,spotify:track:04OSnqlwlBJMvidYccraVz,https://api.spotify.com/v1/tracks/04OSnqlwlBJMvidYccraVz,https://api.spotify.com/v1/audio-analysis/04OSnqlwlBJMvidYccraVz,198400,4,0 days 00:03:18.400000,girls,girl in red,0 days 00:09:55.200000,3
1kKHlRNEXpIkYARjFXGmnm,0.694,0.447,10,-10.454,1,0.0337,0.944,0.117,0.0951,0.349,106.903,spotify:track:1kKHlRNEXpIkYARjFXGmnm,https://api.spotify.com/v1/tracks/1kKHlRNEXpIkYARjFXGmnm,https://api.spotify.com/v1/audio-analysis/1kKHlRNEXpIkYARjFXGmnm,199712,4,0 days 00:03:19.712000,Blue Hippo,Maya Hawke,0 days 00:03:19.711000,1
5DIGt883aHs3KqWSziy4gR,0.644,0.401,7,-6.782,1,0.0403,0.171,0.0,0.132,0.459,95.354,spotify:track:5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/tracks/5DIGt883aHs3KqWSziy4gR,https://api.spotify.com/v1/audio-analysis/5DIGt883aHs3KqWSziy4gR,112879,4,0 days 00:01:52.879000,Sappho,Frankie Cosmos,0 days 00:05:38.637000,3
3adNtom9Dn2NXmgHf0OwZR,0.645,0.876,9,-5.116,1,0.0544,0.0851,0.00209,0.335,0.933,137.991,spotify:track:3adNtom9Dn2NXmgHf0OwZR,https://api.spotify.com/v1/tracks/3adNtom9Dn2NXmgHf0OwZR,https://api.spotify.com/v1/audio-analysis/3adNtom9Dn2NXmgHf0OwZR,187185,4,0 days 00:03:07.185000,Knock Me Off My Feet,SOAK,0 days 00:06:14.370000,2
1Jb8fejyUddXtl2JKAEFmQ,0.567,0.928,8,-5.533,1,0.0616,0.118,1.04e-05,0.347,0.698,171.974,spotify:track:1Jb8fejyUddXtl2JKAEFmQ,https://api.spotify.com/v1/tracks/1Jb8fejyUddXtl2JKAEFmQ,https://api.spotify.com/v1/audio-analysis/1Jb8fejyUddXtl2JKAEFmQ,214754,4,0 days 00:03:34.754000,What's It Gonna Be?,Shura,0 days 00:07:09.508000,2
3gZyxP7keADPPc8lEJWehW,0.568,0.904,6,-4.772,0,0.226,0.00167,2.55e-06,0.11,0.487,169.935,spotify:track:3gZyxP7keADPPc8lEJWehW,https://api.spotify.com/v1/tracks/3gZyxP7keADPPc8lEJWehW,https://api.spotify.com/v1/audio-analysis/3gZyxP7keADPPc8lEJWehW,258320,4,0 days 00:04:18.320000,Want Me,Baby Queen,0 days 00:45:40.172000,13
7LvgXDcFRcu9zgWfZm65H0,0.643,0.834,1,-6.078,1,0.0324,0.0184,0.0033,0.0655,0.149,123.023,spotify:track:7LvgXDcFRcu9zgWfZm65H0,https://api.spotify.com/v1/tracks/7LvgXDcFRcu9zgWfZm65H0,https://api.spotify.com/v1/audio-analysis/7LvgXDcFRcu9zgWfZm65H0,233770,4,0 days 00:03:53.770000,Clearest Blue,CHVRCHES,0 days 00:25:53.069000,8
7Dx29iGgJijt8IhAQfgLTR,0.711,0.575,9,-6.859,1,0.0452,0.102,1.81e-05,0.106,0.481,135.008,spotify:track:7Dx29iGgJijt8IhAQfgLTR,https://api.spotify.com/v1/tracks/7Dx29iGgJijt8IhAQfgLTR,https://api.spotify.com/v1/audio-analysis/7Dx29iGgJijt8IhAQfgLTR,162446,4,0 days 00:02:42.446000,friends* (feat. Bishop Briggs),Mob Rich,0 days 00:12:59.783000,4
6ts1KCOudfDYXYfyWtq0k1,0.488,0.638,8,-4.502,1,0.058,0.0258,2.24e-05,0.12,0.713,207.906,spotify:track:6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/tracks/6ts1KCOudfDYXYfyWtq0k1,https://api.spotify.com/v1/audio-analysis/6ts1KCOudfDYXYfyWtq0k1,188060,4,0 days 00:03:08.060000,おもかげ (produced by Vaundy),milet,0 days 00:12:32.509000,5
7EgnVzraPX5lyWA92o0Jty,0.781,0.611,0,-7.812,0,0.0406,0.125,1.4e-06,0.116,0.333,119.092,spotify:track:7EgnVzraPX5lyWA92o0Jty,https://api.spotify.com/v1/tracks/7EgnVzraPX5lyWA92o0Jty,https://api.spotify.com/v1/audio-analysis/7EgnVzraPX5lyWA92o0Jty,222858,4,0 days 00:03:42.858000,"Know No Better (feat. Travis Scott, Camila Cabello & Quavo)",Major Lazer,0 days 00:13:00.158000,4
50lUr1G0TYol01m2RlqPzZ,0.508,0.213,5,-13.998,1,0.0364,0.829,1.11e-05,0.123,0.512,100.764,spotify:track:50lUr1G0TYol01m2RlqPzZ,https://api.spotify.com/v1/tracks/50lUr1G0TYol01m2RlqPzZ,https://api.spotify.com/v1/audio-analysis/50lUr1G0TYol01m2RlqPzZ,150141,4,0 days 00:02:30.141000,I'd Have to Think About It,Leith Ross,0 days 00:42:34.705000,19
7lerqaaEpBrlzmP0p1jyXn,0.797,0.484,8,-9.801,1,0.0855,0.231,0.0,0.0585,0.732,140.053,spotify:track:7lerqaaEpBrlzmP0p1jyXn,https://api.spotify.com/v1/tracks/7lerqaaEpBrlzmP0p1jyXn,https://api.spotify.com/v1/audio-analysis/7lerqaaEpBrlzmP0p1jyXn,152899,4,0 days 00:02:32.899000,"Fuck The Pain Away (From ""Sex Education"")",Geek Music,0 days 00:10:11.592000,4
7nMlhFSw9VphHNEgUec9uy,0.599,0.546,7,-6.984,1,0.0328,0.789,2.8e-05,0.116,0.263,89.98,spotify:track:7nMlhFSw9VphHNEgUec9uy,https://api.spotify.com/v1/tracks/7nMlhFSw9VphHNEgUec9uy,https://api.spotify.com/v1/audio-analysis/7nMlhFSw9VphHNEgUec9uy,264873,4,0 days 00:04:24.873000,My Own Person,Ezra Williams,0 days 00:39:09.483000,10
